Cases
1
2
1
4
11
12
26
65
194
436
411
270
53
341
519
397
208
166
103
129
158
163
179
128
101
51
29
0
0
5
6
0
0
0
6
0
4
0
1
0
0
0
0
3
4
21
9
3
3
11
1
0
18
3
3
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
1
0
1
0
3
11
10
21
26
69
99
75
705
1080
1427
1193
886
563
593
578
595
573
374
144
125
66
79
76
18
6
5
5
1
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
1
0
1
7
4
13
44
85
184
262
146
405
683
1444
1054
980
616
460
319
210
121
67
22
14
7
5
0
0
1
1
0
0
0
1
0
0
1
0
0
0
0
1
2
0
0
0
1
0
0
1
0
0
0
0
1
0
0
1
2
1
11
12
6
25
78
142
211
394
270
569
592
672
571
335
286
244
175
133
81
28
43
23
13
10
10
13
5
5
4
2
0
0
0
0
0
0
1
0
0
0
1
0
0
1
4
1
1
4
9
7
8
17
42
38
43
221
367
788
893
1016
702
954
723
587
511
364
208
112
89
110
108
29
44
41
26
56
17
4
6
5
2
2
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
8
13
41
106
219
428
344
129
814
904
1027
739
622
393
366
309
306
241
182
94
50
35
34
12
5
5
5
2
0
1
0
0
0
0
1
2
0
0
1
0
1
0
1
1
2
2
0
0
0
0
1
2
0
7
6
29
33
47
106
114
31
297
568
893
835
715
421
269
186
117
93
47
36
31
23
36
25
25
4
8
5
3
1
0
2
0
0
0
0
0
1
2
2
1
2
1
0
0
2
0
4
2
3
2
2
11
6
26
18
34
29
54
18
30
105
326
558
680
719
711
637
603
384
276
157
142
114
94
82
50
16
35
42
23
13
3
3
8
1
4
6
5
1
4
11
0
1
0
3
4
1
1
0
1
1
4
6
14
24
26
55
82
136
190
164
193
433
782
665
441
339
276
231
211
161
142
67
51
36
44
71
55
32
38
50
58
53
37
16
11
10
2
7
6
9
6
1
0
0
0
2
0
3
4
0
0
2
1
1
6
6
6
4
11
23
18
10
22
42
147
284
313
406
330
509
581
479
406
261
265
117
141
109
89
42
42
53
54
20
11
7
1
3
1
5
4
4
0
0
6
2
0
2
2
1
6
11
10
22
36
33
56
93
84
181
225
335
299
152
49
277
322
455
391
299
192
273
175
137
108
91
68
48
35
51
36
14
9
11
28
8
7
8
2
8
3
8
5
0
0
1
0
0
4
4
4
4
0
2
19
5
10
21
31
55
52
64
203
274
279
236
46
485
591
949
843
560
386
332
327
346
304
176
108
101
83
101
102
115
90
238
517
184
110
205
252
281
423
823
1151
1039
761
1060
1134
1528
1008
599
521
720
477
755
999
1027
1399
1656
1431
1554
1574
1399
1424
1285
1019
604
174
503
480
542
409
346
265
255
178
115
88
66
29
33
26
42
31
16
14
44
43
24
12
13
13
5
10
15
16
12
7
27
24
14
22
32
50
31
31
39
64
40
50
75
59
78
137
145
170
256
372
419
245
681
1130
1650
1118
953
635
513
524
441
415
283
188
174
160
181
175
153
56
60
52
38
37
15
9
4
8
1
2
4
2
1
1
1
1
0
5
1
2
7
10
19
21
25
33
9
48
46
78
120
172
176
114
170
455
962
732
663
536
503
401
327
308
242
171
146
121
142
112
90
24
26
35
17
15
7
3
4
19
6
12
4
9
10
18
7
5
13
40
20
5
33
11
8
4
11
11
14
11
30
44
91
139
233
148
146
622
734
818
586
460
299
316
323
253
199
161
131
95
83
121
92
51
65
80
48
30
21
20
6
4
3
7
1
1
3
5
1
1
2
4
3
8
7
15
16
6
19
13
14
17
53
97
105
104
154
133
65
474
739
1009
880
697
498
525
512
395
429
298
221
150
114
126
99
55
28
33
20
19
2
6
7
3
1
0
5
1
1
3
2
5
6
5
13
10
15
19
4
6
14
27
30
81
111
194
303
383
531
382
73
611
501
530
412
310
204
262
164
150
144
146
97
70
57
83
64
25
13
22
18
10
11
8
7
7
3
5
1
1
4
2
3
5
5
17
5
5
1
8
13
6
30
7
17
9
7
1
