Timestamp,Cases
10/10/2017 22:01,69.132
10/10/2017 22:06,43.0774
10/10/2017 22:11,44.3051
10/10/2017 22:16,44.756
10/10/2017 22:21,38.6538
10/10/2017 22:26,66.5429
10/10/2017 22:31,60.8329
10/10/2017 22:36,54.7377
10/10/2017 22:41,54.2973
10/10/2017 22:46,64.5093
10/10/2017 22:51,75.4489
10/10/2017 22:56,75.0824
10/10/2017 23:01,93.7561
10/10/2017 23:06,88.7548
10/10/2017 23:11,86.1925
10/10/2017 23:16,81.081
10/10/2017 23:21,81.1444
10/10/2017 23:26,77.8073
10/10/2017 23:31,90.341
10/10/2017 23:36,93.7115
10/10/2017 23:41,87.9638
10/10/2017 23:46,90.9027
10/10/2017 23:51,87.0187
10/10/2017 23:56,85.285
10/11/2017 0:01,84.2229
10/11/2017 0:06,85.8964
10/11/2017 0:11,84.5757
10/11/2017 0:16,86.1798
10/11/2017 0:21,85.1277
10/11/2017 0:26,83.0166
10/11/2017 0:31,80.3707
10/11/2017 0:36,73.4064
10/11/2017 0:41,69.3093
10/11/2017 0:46,66.8962
10/11/2017 0:51,65.0172
10/11/2017 0:56,62.7538
10/11/2017 1:01,68.4969
10/11/2017 1:06,90.2459
10/11/2017 1:11,93.6538
10/11/2017 1:16,97.1321
10/11/2017 1:21,97.1321
10/11/2017 1:26,97.5333
10/11/2017 1:31,86.1563
10/11/2017 1:36,81.8214
10/11/2017 1:41,84.2442
10/11/2017 1:46,82.213
10/11/2017 1:51,72.4202
10/11/2017 1:56,88.9887
10/11/2017 2:01,77.5136
10/11/2017 2:06,97.7051
10/11/2017 2:11,99.7097
10/11/2017 2:21,92.7728
10/11/2017 2:26,87.8053
10/11/2017 2:31,75.4477
10/11/2017 2:36,58.5542
10/11/2017 2:41,58.3229
10/11/2017 2:46,41.0507
10/11/2017 2:51,34.5339
10/11/2017 2:56,33.485
10/11/2017 3:01,38.0898
10/11/2017 3:06,44.0124
10/11/2017 3:11,37.2423
10/11/2017 3:16,38.3106
10/11/2017 3:21,51.24
10/11/2017 3:26,88.6876
10/11/2017 3:31,84.1335
10/11/2017 3:36,84.1556
10/11/2017 3:41,82.2371
10/11/2017 3:46,61.4721
10/11/2017 3:51,45.3981
10/11/2017 3:56,36.5771
10/11/2017 4:01,31.5336
10/11/2017 4:06,38.4955
10/11/2017 4:11,41.26
10/11/2017 4:16,38.6059
10/11/2017 4:21,30.0152
10/11/2017 4:26,63.4181
10/11/2017 4:31,64.5686
10/11/2017 4:36,50.0547
10/11/2017 4:41,30.8778
10/11/2017 4:46,56.2918
10/11/2017 4:51,50.7294
10/11/2017 4:56,44.5182
10/11/2017 5:01,26.0014
10/11/2017 5:06,76.3393
10/11/2017 5:11,92.8581
10/11/2017 5:16,79.9126
10/11/2017 5:21,71.2066
10/11/2017 5:26,59.6963
10/11/2017 5:31,57.8545
10/11/2017 5:36,64.3967
10/11/2017 5:41,64.2696
10/11/2017 5:46,74.9953
10/11/2017 5:51,79.7713
10/11/2017 5:56,66.8465
10/11/2017 6:01,48.2039
10/11/2017 6:06,82.6594
10/11/2017 6:11,91.4624
10/11/2017 6:16,88.4301
10/11/2017 6:21,81.5889
10/11/2017 6:26,72.3322
10/11/2017 6:31,74.1981
10/11/2017 6:36,73.0379
10/11/2017 6:41,66.0596
10/11/2017 6:46,63.5216
10/11/2017 6:51,67.0488
10/11/2017 6:56,65.1497
10/11/2017 7:01,64.0809
10/11/2017 7:06,54.0718
10/11/2017 7:11,57.3418
10/11/2017 7:16,77.4738
10/11/2017 7:21,72.5942
10/11/2017 7:26,48.814
10/11/2017 7:31,42.3407
