Date,Open,High,Low,Cases,Adj Close,Volume
08/06/2021,161.130493,163.976501,160.900497,163.205505,163.205505,68334000
09/06/2021,163.643494,164.878998,163.535004,164.057495,164.057495,49110000
10/06/2021,164.100494,167.550003,164.057495,167.482498,167.482498,69530000
11/06/2021,167.482498,168.328995,166.672501,167.341507,167.341507,56348000
14/06/2021,167.341507,169.25,166.774994,169.193497,169.193497,51394000
15/06/2021,169.199997,169.849503,168.155502,169.156494,169.156494,48524000
16/06/2021,169.600006,171.317505,168.026505,170.762497,170.762497,84056000
17/06/2021,170.158997,174.860001,170.050003,174.462006,174.462006,102730000
18/06/2021,173.999496,175.350006,173.685501,174.345001,174.345001,104954000
21/06/2021,173.820999,174.100006,171.699997,172.697998,172.697998,65542000
22/06/2021,172.903,176.188995,172.804504,175.272003,175.272003,66902000
23/06/2021,175.25,176.050003,174.160004,175.190994,175.190994,56266000
24/06/2021,175.382004,176.242996,171.542496,172.453995,172.453995,76640000
25/06/2021,173.199997,173.240997,169.709,170.072998,170.072998,78820000
28/06/2021,170.800003,172.399994,170.675507,172.194504,172.194504,44856000
29/06/2021,171.940994,172.801498,171.151505,172.406998,172.406998,41968000
30/06/2021,172.052994,173.580002,171.75,172.007996,172.007996,48080000
01/07/2021,171.730499,172.850006,170.470993,171.648499,171.648499,40742000
02/07/2021,172.582001,175.585999,171.845993,175.548996,175.548996,63388000
06/07/2021,176.505493,184.274002,176.449997,183.787003,183.787003,134896000
07/07/2021,185.869003,186.710007,183.945496,184.828995,184.828995,106562000
08/07/2021,182.177994,187.999496,181.056,186.570496,186.570496,103612000
09/07/2021,186.126007,187.399994,184.669998,185.966995,185.966995,74964000
12/07/2021,187.199997,187.864502,184.839493,185.927505,185.927505,51432000
13/07/2021,185.104996,188.654007,183.565994,183.867996,183.867996,76918000
14/07/2021,185.442505,185.882996,183.041504,184.084,184.084,65932000
15/07/2021,184.710007,184.770004,181.046005,181.559998,181.559998,63706000
16/07/2021,181.665497,182.302994,178.522995,178.681503,178.681503,80874000
19/07/2021,176.628998,177.510498,174.957993,177.479507,177.479507,75692000
20/07/2021,178.365997,179.600006,175.899994,178.6595,178.6595,65114000
21/07/2021,178.819,179.322495,177.182007,179.259995,179.259995,46380000
22/07/2021,179.361496,182.001007,179.113495,181.901505,181.901505,65308000
23/07/2021,182,183.305496,181.102005,182.832001,182.832001,48726000
26/07/2021,183.658493,185.604004,182.362503,184.990997,184.990997,58002000
27/07/2021,184.925003,184.925003,179.307495,181.319504,181.319504,82638000
28/07/2021,181.688995,182.921005,180.050003,181.516006,181.516006,59988000
29/07/2021,181.387497,181.897507,179.000504,179.996002,179.996002,110400000
30/07/2021,167.397507,168.406998,165.348999,166.379501,166.379501,199312000
02/08/2021,167.654999,167.945999,165.850006,166.574005,166.574005,67078000
03/08/2021,167.035995,169.550003,164.988495,168.311996,168.311996,83146000
04/08/2021,168.967499,169.444,167.278,167.735992,167.735992,43678000
05/08/2021,167.811005,169.449997,167.046005,168.7995,168.7995,48670000
06/08/2021,168.75,168.75,166.451996,167.246994,167.246994,52752000
09/08/2021,167.180496,167.744003,166.425995,167.093506,167.093506,42964000
10/08/2021,167.250504,167.899994,165.75,166.033997,166.033997,48252000
11/08/2021,166.572495,166.884995,163.889496,164.605499,164.605499,58944000
12/08/2021,164.5,165.725494,163.483505,165.175003,165.175003,46282000
13/08/2021,165.283493,165.303497,164.149994,164.698502,164.698502,41134000
16/08/2021,164.149994,165,160.556503,164.949493,164.949493,66394000
17/08/2021,163.875,164.024506,161.283997,162.098007,162.098007,67758000
18/08/2021,162.099503,162.705002,160,160.061005,160.061005,56086000
19/08/2021,159.701004,161.649994,159.123001,159.387497,159.387497,75658000
20/08/2021,160.193497,160.390503,158.787994,159.997498,159.997498,67168000
23/08/2021,160.595001,164.044998,160.500504,163.293503,163.293503,65362000
24/08/2021,164,165.774506,163.729004,165.289001,165.289001,51036000
25/08/2021,165.4935,166.050003,164.307495,164.959,164.959,33606000
26/08/2021,164.949997,166.600006,164.800003,165.800003,165.800003,41976000
27/08/2021,166.661499,167.615997,165.6875,167.481506,167.481506,48048000
30/08/2021,167.871506,172.25,167.761002,171.078506,171.078506,63844000
31/08/2021,171.240005,173.628998,169.779495,173.539505,173.539505,87128000
01/09/2021,174.820007,176.350006,173.761993,173.949997,173.949997,72598000
02/09/2021,174.738007,175.598007,172.75,173.156006,173.156006,58474000
03/09/2021,172.600006,174.133499,171.822006,173.902496,173.902496,51514000
07/09/2021,173.899994,176.404495,173.847,175.464493,175.464493,54758000
08/09/2021,175.582504,177.281494,174.783493,176.274994,176.274994,61068000
09/09/2021,176.300995,177.499496,174.018494,174.207993,174.207993,54384000
10/09/2021,175.091507,175.422501,173.145493,173.457504,173.457504,47946000
13/09/2021,174.139999,174.897995,171.899994,172.858505,172.858505,51380000
14/09/2021,173.777496,174.3405,171.885498,172.5,172.5,38738000
15/09/2021,172.126007,174.270996,170.100494,173.789505,173.789505,59150000
16/09/2021,172.998001,174.627502,172.307007,174.412003,174.412003,51672000
17/09/2021,174.420502,174.870499,172.606506,173.126007,173.126007,92332000
20/09/2021,169.800003,170.949997,165.250504,167.786499,167.786499,93382000
21/09/2021,168.75,168.985001,166.619507,167.181503,167.181503,55618000
22/09/2021,167.550003,169.449997,167.052505,169.002502,169.002502,48228000
23/09/2021,169.002502,171.447998,169.002502,170.800003,170.800003,47588000
24/09/2021,170.100494,171.462997,169.669998,171.276001,171.276001,42324000
27/09/2021,168.574997,170.778503,166.980499,170.289993,170.289993,72690000
28/09/2021,167.885498,168.459503,164.505005,165.798004,165.798004,88616000
29/09/2021,166.105499,167.565002,164.893494,165.056,165.056,51246000
30/09/2021,165.800003,166.392502,163.699493,164.251999,164.251999,56848000
